grain_ID;grain_R;grain volume;b/a;a;b;c
192,00;28,97;101894,913;0,77;34,52537861;26,54377711;26,54377711
193,00;23,30;53018,54398;0,82;26,50171113;21,8540854;21,8540854
194,00;11,97;7180,961044;0,87;13,15402214;11,41609821;11,41609821
195,00;33,26;154097,6492;0,80;38,45765668;30,92874466;30,92874466
196,00;11,55;6446,085037;0,44;19,87536731;8,799259564;8,799259564
197,00;23,43;53894,87257;0,71;29,53060693;20,87340183;20,87340183
198,00;19,54;31270,56078;0,66;25,85959628;16,99075431;16,99075431
199,00;23,00;50992,49725;0,90;24,68151119;22,20869104;22,20869104
200,00;29,04;102620,142;0,81;33,31822574;27,11633982;27,11633982
201,00;17,16;21162,95941;0,70;21,76531323;15,23566567;15,23566567
202,00;32,65;145858,2541;0,65;43,58314852;28,26584025;28,26584025
203,00;15,96;17021,53731;0,75;19,38625112;14,47798655;14,47798655
204,00;49,57;510097,5135;0,95;51,24099458;48,74987689;48,74987689
205,00;17,84;23788,32154;0,60;24,95888347;15,08429505;15,08429505
206,00;20,15;34247,51604;0,67;26,36049606;17,61138231;17,61138231
207,00;22,15;45524,57056;0,72;27,56800748;19,85527631;19,85527631
208,00;26,91;81627,38839;0,71;33,70169861;24,04627176;24,04627176
209,00;24,83;64154,38808;0,81;28,56781485;23,15423131;23,15423131
210,00;16,21;17825,62325;0,86;17,88822402;15,42390865;15,42390865
211,00;17,16;21162,95941;0,69;21,87413731;15,19771962;15,19771962
212,00;22,96;50705,216;0,74;28,06146184;20,76953953;20,76953953
213,00;10,65;5058,201304;0,70;13,46081315;9,471485572;9,471485572
214,00;26,91;81627,38839;0,55;39,99464948;22,07357614;22,07357614
215,00;32,90;149135,8919;0,96;33,71203781;32,49782386;32,49782386
216,00;21,11;39405,4103;0,44;36,68446712;16,01373048;16,01373048
217,00;5,64;752,2527779;1,00;5,641895835;5,641895835;5,641895835
218,00;26,61;78951,21597;0,60;37,54197351;22,40663076;22,40663076
219,00;40,82;284959,4382;0,57;59,54306703;33,80116101;33,80116101
220,00;13,96;11403,10017;0,67;18,21145105;12,22629554;12,22629554
221,00;16,39;18436,75477;0,87;17,94904418;15,65947766;15,65947766
222,00;18,28;25594,56478;0,69;23,50949039;16,12159335;16,12159335
223,00;16,08;17422,03392;0,84;18,04932397;15,18010071;15,18010071
224,00;22,74;49276,9533;0,91;24,24870549;22,02588362;22,02588362
225,00;12,93;9049,045146;0,59;18,42525746;10,82805094;10,82805094
226,00;23,64;55366,02008;0,77;28,26201234;21,62598052;21,62598052
227,00;16,93;20310,82502;0,83;19,14348896;15,91508387;15,91508387
228,00;17,39;22026,68842;0,75;20,98360892;15,83033873;15,83033873
229,00;20,34;35259,71755;0,94;21,27373004;19,89176354;19,89176354
230,00;13,31;9868,902008;0,73;16,42572424;11,97644295;11,97644295
231,00;8,92;2973,540194;0,83;10,11394743;8,377843743;8,377843743
232,00;41,41;297471,0628;0,78;48,70183392;38,18610833;38,18610833
233,00;21,48;41535,15192;0,79;25,15717115;19,85329953;19,85329953
234,00;10,56;4925,676281;0,79;12,33634967;9,763269851;9,763269851
235,00;10,56;4925,676281;0,67;13,83114365;9,220608498;9,220608498
236,00;6,31;1051,305217;0,64;8,449774004;5,450013254;5,450013254
237,00;17,84;23788,32154;0,77;21,1498778;16,38640423;16,38640423
238,00;22,43;47300,37761;0,94;23,30405999;22,01264372;22,01264372
239,00;38,25;234365,0354;0,49;61,77452607;30,09521113;30,09521113
240,00;19,54;31270,56078;0,28;45,78450914;12,76921646;12,76921646
241,00;11,89;7040,251302;0,53;18,09803389;9,636827332;9,636827332
242,00;22,03;44799,02537;0,46;36,81241584;17,04483567;17,04483567
243,00;20,54;36281,69912;0,56;30,10929252;16,96091308;16,96091308
244,00;18,71;27444,34232;0,65;25,03322584;16,17795789;16,17795789
246,00;13,82;11055,81279;0,82;15,78244006;12,93194828;12,93194828
247,00;6,62;1212,880036;0,66;8,744120533;5,75448618;5,75448618
248,00;23,26;52727,50025;0,80;27,06205148;21,56720809;21,56720809
249,00;18,98;28622,11277;0,66;24,96721247;16,54327583;16,54327583
250,00;23,09;51568,6803;0,72;28,84047229;20,66081838;20,66081838
251,00;50,55;540931,1744;0,70;64,24434854;44,83418051;44,83418051
252,00;17,59;22791,84152;0,63;23,83973115;15,10757389;15,10757389
253,00;13,19;9620,461502;0,74;16,1700805;11,91784019;11,91784019
254,00;7,60;1835,611725;0,54;11,52373175;6,166653364;6,166653364
255,00;17,16;21162,95941;0,75;20,75761223;15,60109917;15,60109917
256,00;3,99;265,9615203;0,55;5,920832418;3,274716546;3,274716546
257,00;25,30;67862,5792;0,44;43,88416136;19,21396408;19,21396408
258,00;8,46;2538,853126;0,62;11,63809284;7,216615643;7,216615643
259,00;12,30;7787,610372;0,57;17,97743916;10,16936625;10,16936625
260,00;9,36;3430,542792;0,54;14,18874067;7,597403461;7,597403461
261,00;28,91;101171,4005;0,64;38,83689944;24,93803908;24,93803908
262,00;20,92;38354,63441;0,81;24,02746216;19,52138686;19,52138686
263,00;10,27;4535,212397;0,59;14,63295157;8,601784208;8,601784208
264,00;37,00;212112,6079;0,82;42,10232034;34,68054562;34,68054562
265,00;20,49;36025,29199;0,78;24,13802992;18,87593788;18,87593788
266,00;25,62;70461,96272;0,52;39,41325652;20,65912406;20,65912406
267,00;13,23;9703,040283;0,57;19,32211191;10,94919817;10,94919817
268,00;3,99;265,9615203;0,55;5,920832418;3,274716546;3,274716546
269,00;18,71;27444,34232;0,79;21,93815245;17,28152581;17,28152581
271,00;52,54;607546,2082;0,35;106,461653;36,91039987;36,91039987
272,00;16,33;18232,28175;0,70;20,763308;14,47864547;14,47864547
273,00;23,26;52727,50025;0,94;24,3176578;22,75167709;22,75167709
274,00;21,11;39405,4103;0,95;21,83452302;20,75686533;20,75686533
275,00;9,77;3908,820095;0,64;13,15786679;8,421429046;8,421429046
276,00;17,90;24011,68518;0,81;20,67532614;16,65101957;16,65101957
277,00;53,45;639610,3548;0,48;87,77019644;41,70997247;41,70997247
278,00;45,47;393825,4788;0,39;85,66559008;33,12870005;33,12870005
279,00;26,16;74993,13168;0,78;30,90003222;24,07060323;24,07060323
280,00;23,94;57447,68835;0,65;32,01141098;20,69853298;20,69853298
281,00;40,98;288202,3357;0,50;65,30705188;32,4581979;32,4581979
282,00;9,03;3085,741997;0,74;11,05940252;8,161494052;8,161494052
283,00;19,13;29336,65277;0,51;29,83468311;15,32146385;15,32146385
284,00;10,56;4925,676281;0,35;21,19537203;7,448487728;7,448487728
285,00;19,34;30298,46316;0,69;24,74597887;17,09675454;17,09675454
286,00;7,98;2127,692162;0,66;10,50313567;6,954254888;6,954254888
287,00;6,91;1381,976598;0,82;7,897781444;6,46328764;6,46328764
288,00;51,06;557647,8835;0,51;79,54898282;40,90895719;40,90895719
289,00;14,28;12197,46622;0,85;15,91947922;13,52465138;13,52465138
290,00;12,06;7356,203432;0,55;17,97458657;9,884463586;9,884463586
291,00;9,36;3430,542792;0,75;11,33310906;8,50085448;8,50085448
292,00;6,91;1381,976598;0,46;11,62590435;5,327122294;5,327122294
293,00;14,93;13931,91641;0,64;20,02224814;12,88856914;12,88856914
294,00;17,16;21162,95941;0,73;21,17247806;15,44749449;15,44749449
295,00;53,66;647374,7833;0,47;88,81960555;41,71374334;41,71374334
296,00;49,35;503557,3751;0,46;82,83682497;38,09504173;38,09504173
297,00;44,96;380648,7326;0,36;88,70229404;32,00740488;32,00740488
298,00;16,27;18028,5703;0,85;18,12356074;15,41042355;15,41042355
299,00;4,89;488,6025119;0,74;5,957798479;4,424769363;4,424769363
300,00;27,64;88446,50229;0,80;32,01550425;25,68123196;25,68123196
301,00;17,16;21162,95941;0,49;27,67115688;13,5123298;13,5123298
302,00;17,83;23724,39014;0,79;20,90543495;16,45976461;16,45976461
303,00;14,93;13931,91641;0,67;19,4791294;13,06701393;13,06701393
304,00;20,34;35259,71755;0,57;29,64230036;16,85152302;16,85152302
305,00;30,12;114454,0303;0,78;35,53349917;27,73015212;27,73015212
306,00;38,60;240938,6945;0,87;42,27868687;36,88486742;36,88486742
307,00;5,64;752,2527779;0,53;8,579851754;4,57506958;4,57506958
308,00;33,79;161641,0507;0,57;49,41425731;27,94508221;27,94508221
309,00;13,42;10119,44501;0,53;20,38886214;10,88522845;10,88522845
310,00;48,97;491965,5002;0,53;75,17574068;39,52611789;39,52611789
311,00;11,63;6590,937531;0,82;13,25508375;10,89527145;10,89527145
312,00;20,34;35259,71755;0,85;22,68683542;19,26230031;19,26230031
313,00;16,45;18641,9865;0,73;20,28941054;14,81040978;14,81040978
314,00;16,21;17825,62325;0,55;24,17450212;13,26781135;13,26781135
315,00;21,40;41043,79113;0,76;25,62936595;19,55286936;19,55286936
316,00;28,91;101171,4005;0,61;40,25415248;24,4951009;24,4951009
317,00;15,96;17021,53731;0,55;23,6407924;13,1106454;13,1106454
318,00;13,82;11055,81279;0,93;14,46522585;13,50791826;13,50791826
319,00;20,15;34247,51604;0,40;37,03814053;14,85749684;14,85749684
320,00;4,89;488,6025119;0,74;5,957798479;4,424769363;4,424769363
321,00;33,02;150783,793;0,57;48,29899053;27,30008507;27,30008507
322,00;10,56;4925,676281;0,51;16,47445231;8,448568618;8,448568618
323,00;34,09;165883,4645;0,80;39,59050376;31,62727173;31,62727173
324,00;31,79;134579,6501;0,58;45,71527088;26,5103062;26,5103062
325,00;52,24;597330,9163;0,68;67,80656585;45,85928901;45,85928901
326,00;21,48;41535,15192;0,70;27,23302149;19,08163932;19,08163932
327,00;6,91;1381,976598;0,65;9,170073339;5,998181945;5,998181945
328,00;32,56;144635,4129;0,78;38,27049427;30,03730605;30,03730605
329,00;16,93;20310,82502;0,58;24,39320056;14,09889527;14,09889527
330,00;32,90;149135,8919;0,48;53,4864689;25,80030378;25,80030378
331,00;5,64;752,2527779;1,00;5,641895835;5,641895835;5,641895835
332,00;18,12;24912,06582;0,64;24,45667975;15,59415399;15,59415399
333,00;10,17;4407,464687;0,46;17,06686825;7,851871763;7,851871763
334,00;10,17;4407,464687;0,49;16,44021819;8,000116797;8,000116797
335,00;28,83;100329,4775;0,86;31,85211962;27,42210577;27,42210577
336,00;22,57;48144,17778;0,79;26,48232997;20,83288834;20,83288834
337,00;41,94;308931,5219;0,64;56,2619808;36,20589588;36,20589588
338,00;49,83;518209,8984;0,56;73,65669229;40,98287689;40,98287689
339,00;21,44;41266,89531;0,90;22,9500602;20,71880385;20,71880385
340,00;26,01;73688,92177;0,88;28,25020723;24,95433364;24,95433364
341,00;9,77;3908,820095;0,84;10,94619438;9,233087652;9,233087652
342,00;16,69;19470,44512;0,48;27,39603699;13,02566077;13,02566077
343,00;23,09;51568,6803;0,56;33,81535827;19,08058595;19,08058595
344,00;36,96;211534,8021;0,77;44,10924134;33,83621809;33,83621809
345,00;12,30;7787,610372;0,50;19,60602113;9,737849757;9,737849757
346,00;9,51;3607,454991;0,78;11,24193916;8,75256895;8,75256895
347,00;28,63;98294,5979;0,81;32,93664969;26,69198119;26,69198119
348,00;28,21;94031,59728;0,83;32,04509548;26,46743268;26,46743268
349,00;11,97;7180,961044;0,82;13,66782627;11,19946445;11,19946445
350,00;23,09;51568,6803;0,64;31,21370386;19,85985399;19,85985399
351,00;16,27;18028,5703;0,89;17,63770382;15,62123323;15,62123323
352,00;18,55;26745,63914;0,61;25,69468585;15,76378597;15,76378597
353,00;27,78;89832,07155;0,80;32,32294342;25,75822614;25,75822614
354,00;18,06;24685,93596;0,75;21,88005253;16,41180372;16,41180372
355,00;15,96;17021,53731;0,86;17,62729054;15,18316475;15,18316475
356,00;18,28;25594,56478;0,68;23,64897137;16,07398068;16,07398068
357,00;12,77;8727,796355;0,96;13,15379023;12,58584972;12,58584972
358,00;32,53;144228,5624;0,71;40,7938126;29,05254513;29,05254513
359,00;4,89;488,6025119;0,39;9,131582813;3,574049079;3,574049079
360,00;31,13;126386,3506;0,80;36,21963577;28,86248651;28,86248651
361,00;4,89;488,6025119;0,74;5,957798479;4,424769363;4,424769363
362,00;9,77;3908,820095;0,45;16,69033085;7,477321662;7,477321662
363,00;24,75;63534,54165;0,81;28,37564816;23,11999579;23,11999579
364,00;14,66;13192,26783;0,90;15,67133709;14,1762838;14,1762838
365,00;25,23;67283,53392;0,86;27,98969804;23,95581693;23,95581693
366,00;21,30;40465,61049;0,77;25,34906228;19,52170719;19,52170719
367,00;22,26;46183,07511;0,55;33,26911793;18,20440445;18,20440445
368,00;5,64;752,2527779;1,00;5,641895835;5,641895835;5,641895835
369,00;43,66;348523,5186;0,58;62,70627073;36,42640012;36,42640012
370,00;19,80;32499,98535;0,69;25,32124246;17,50470403;17,50470403
371,00;9,77;3908,820095;0,94;10,21135203;9,559538186;9,559538186
372,00;36,67;206587,4192;0,63;50,06362205;31,38676075;31,38676075
373,00;10,17;4407,464687;0,88;11,03955581;9,76279829;9,76279829
374,00;36,73;207504,905;0,76;43,95226269;33,57215812;33,57215812
375,00;21,11;39405,4103;0,80;24,54607258;19,57684108;19,57684108
376,00;24,47;61380,94492;0,90;26,24272959;23,63023156;23,63023156
377,00;18,98;28622,11277;0,79;22,23830567;17,52894151;17,52894151
378,00;7,19;1558,274085;0,53;11,02727936;5,80822499;5,80822499
379,00;23,47;54188,04467;0,60;32,9761026;19,80650156;19,80650156
380,00;12,30;7787,610372;0,40;22,5947266;9,070981003;9,070981003
381,00;30,35;117099,5733;0,46;51,14885898;23,37843185;23,37843185
382,00;8,46;2538,853126;0,89;9,133336447;8,146287927;8,146287927
383,00;61,09;955065,3244;0,54;92,17514119;49,73536715;49,73536715
384,00;13,96;11403,10017;0,45;23,85127838;10,68344539;10,68344539
385,00;15,45;15450,96808;0,70;19,50800794;13,750772;13,750772
386,00;34,29;168874,8778;0,78;40,44267553;31,57317667;31,57317667
387,00;8,46;2538,853126;0,52;13,1512824;6,788759637;6,788759637
388,00;16,93;20310,82502;0,86;18,73573258;16,08733621;16,08733621
389,00;30,64;120530,4629;0,91;32,67247092;29,67652992;29,67652992
390,00;14,73;13375,91724;0,78;17,35879033;13,56306219;13,56306219
